CONTRACT_D,PREVIOUS_S,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRIC,SETTLEMENT,NET_CHANGE,OI_NO_CON,TRADED_QUA,TRD_NO_CON,TRADED_VAL
FUTSTKSBILIFE28-APR-2022,1245.6500000,1244.3000000,1244.3000000,1239.8500000,1244.1000000,1227.0500000,-1.4900000,3.0000000,2250.0000000,3.0000000,2796187.5000000
FUTSTKSBILIFE31-MAR-2022,1243.6000000,1251.0000000,1255.7000000,1213.3000000,1223.9500000,1223.9500000,-1.5800000,108.0000000,76500.0000000,102.0000000,94406175.0000000
FUTSTKCONCOR31-MAR-2022,650.0000000,652.0000000,664.5500000,652.0000000,659.4000000,659.4000000,1.4400000,92.0000000,16000.0000000,20.0000000,10529600.0000000
FUTSTKRECLTD28-APR-2022,140.0500000,137.2000000,137.9000000,137.2000000,136.7000000,136.7000000,-2.3900000,7.0000000,18000.0000000,3.0000000,2470800.0000000
FUTSTKTECHM28-APR-2022,1495.0000000,1504.9500000,1532.3000000,1492.0000000,1526.1500000,1526.1500000,2.0800000,46.0000000,43200.0000000,72.0000000,65255700.0000000
FUTSTKTECHM24-FEB-2022,1481.7500000,1475.0000000,1519.2000000,1475.0000000,1510.0500000,1510.0500000,1.9000000,29683.0000000,5332200.0000000,8887.0000000,7982084880.0000000
FUTSTKAMARAJABAT24-FEB-2022,619.3000000,622.3500000,631.7500000,615.6000000,627.4000000,627.4000000,1.3000000,7969.0000000,3527000.0000000,3527.0000000,2200292650.0000000
FUTSTKAMARAJABAT31-MAR-2022,621.6500000,622.5000000,633.4500000,619.5000000,630.0000000,630.0000000,1.3400000,409.0000000,169000.0000000,169.0000000,105867950.0000000
FUTSTKTECHM31-MAR-2022,1487.9000000,1531.1500000,1531.1500000,1483.5500000,1517.3500000,1517.3500000,1.9700000,516.0000000,153000.0000000,255.0000000,230008500.0000000
FUTSTKSUNTV28-APR-2022,502.8000000,0.0000000,0.0000000,0.0000000,,509.5500000,1.3400000,1.0000000,0.0000000,0.0000000,0.0000000
FUTSTKSIEMENS31-MAR-2022,2345.7500000,2354.0000000,2443.2500000,2349.2000000,2429.6500000,2429.6500000,3.5700000,94.0000000,18700.0000000,68.0000000,45043350.0000000
FUTSTKSUNTV24-FEB-2022,496.7500000,499.6000000,507.3000000,496.0000000,505.0000000,505.0000000,1.6600000,7835.0000000,1375500.0000000,917.0000000,690778125.0000000
FUTSTKMARUTI31-MAR-2022,8633.1500000,8703.4500000,8800.0000000,8422.9500000,8592.1500000,8592.1500000,-0.4700000,770.0000000,43500.0000000,435.0000000,375108090.0000000
FUTSTKMARUTI28-APR-2022,8683.5500000,8790.0000000,8790.0000000,8450.0000000,8629.0000000,8644.7000000,-0.4400000,12.0000000,3000.0000000,30.0000000,25882840.0000000
FUTSTKMARUTI24-FEB-2022,8600.2500000,8838.0000000,8838.0000000,8380.6500000,8566.1500000,8566.1500000,-0.3900000,26151.0000000,1219400.0000000,12194.0000000,10450824930.0000000
FUTSTKAMARAJABAT28-APR-2022,624.4500000,625.0000000,633.0000000,624.8000000,632.9000000,632.9000000,1.3500000,26.0000000,27000.0000000,27.0000000,16988200.0000000
FUTSTKHDFC31-MAR-2022,2541.5500000,2564.0500000,2608.0000000,2529.0000000,2578.0500000,2578.0500000,1.4300000,804.0000000,184200.0000000,614.0000000,475435635.0000000
FUTSTKFEDERALBNK28-APR-2022,101.6500000,102.8000000,102.8000000,99.7000000,101.4500000,101.4500000,-0.1900000,14.0000000,190000.0000000,19.0000000,19185500.0000000
FUTSTKIDFC31-MAR-2022,65.0500000,65.9000000,68.7000000,65.8000000,68.3500000,68.3500000,5.0700000,118.0000000,1490000.0000000,149.0000000,100796000.0000000
FUTSTKIDFC24-FEB-2022,65.0000000,65.4500000,68.5500000,65.1000000,67.8500000,67.8500000,4.3800000,8262.0000000,41330000.0000000,4133.0000000,2771141500.0000000
FUTSTKALKEM24-FEB-2022,3512.3500000,3566.6000000,3566.6000000,3487.3500000,3515.4000000,3515.4000000,0.0800000,1222.0000000,77200.0000000,386.0000000,271874720.0000000
FUTSTKBATAINDIA28-APR-2022,2084.8000000,2070.0000000,2070.0000000,2046.6000000,2046.6000000,2046.4000000,-1.8400000,5.0000000,2750.0000000,5.0000000,5641625.0000000
FUTSTKALKEM28-APR-2022,3574.7500000,0.0000000,0.0000000,0.0000000,,3562.4500000,-0.3400000,0.0000000,0.0000000,0.0000000,0.0000000
FUTSTKFEDERALBNK31-MAR-2022,101.2500000,101.5000000,102.5500000,98.9000000,101.0500000,101.0500000,-0.1900000,175.0000000,2160000.0000000,216.0000000,217557500.0000000
FUTSTKALKEM31-MAR-2022,3519.4500000,3538.8000000,3565.0000000,3518.0000000,3526.0000000,3526.0000000,0.1800000,59.0000000,2800.0000000,14.0000000,9889550.0000000
FUTSTKFEDERALBNK24-FEB-2022,100.9000000,101.2500000,102.3500000,98.5000000,100.7500000,100.7500000,-0.1400000,9631.0000000,40360000.0000000,4036.0000000,4056292000.0000000
FUTSTKBATAINDIA24-FEB-2022,2069.5000000,2080.0500000,2088.2000000,2008.0000000,2033.2000000,2033.2000000,-1.7500000,2222.0000000,992750.0000000,1805.0000000,2025128710.0000000
FUTSTKIDFC28-APR-2022,65.3500000,66.6000000,68.3500000,65.5000000,68.3500000,68.3500000,4.5900000,4.0000000,60000.0000000,6.0000000,4022000.0000000
FUTSTKBATAINDIA31-MAR-2022,2075.3500000,2076.7500000,2076.7500000,2027.1000000,2043.0500000,2043.0500000,-1.5500000,60.0000000,22550.0000000,41.0000000,46170465.0000000
FUTIDXBANKNIFTY24-FEB-2022,38113.7500000,38505.1500000,38914.9500000,37767.0000000,38622.7500000,38622.7500000,1.3300000,85082.0000000,8352475.0000000,334099.0000000,321727330188.7500000
FUTSTKDRREDDY31-MAR-2022,4340.7000000,4384.8500000,4384.8500000,4281.8500000,4337.3000000,4337.3000000,-0.0700000,599.0000000,56000.0000000,448.0000000,241684812.5000000
FUTSTKHINDUNILVR28-APR-2022,2304.9000000,2310.9500000,2340.0000000,2300.6000000,2330.1000000,2330.1000000,1.0900000,65.0000000,14100.0000000,47.0000000,32785845.0000000
FUTSTKBOSCHLTD31-MAR-2022,16530.7000000,16645.0000000,16867.0500000,16570.6500000,16836.4500000,16836.4500000,1.8400000,77.0000000,2000.0000000,40.0000000,33551905.0000000
FUTSTKBOSCHLTD28-APR-2022,16699.5500000,0.0000000,0.0000000,0.0000000,,16991.7500000,1.7400000,0.0000000,0.0000000,0.0000000,0.0000000
FUTSTKSUNPHARMA28-APR-2022,836.8000000,845.0000000,895.0000000,845.0000000,893.8500000,893.8500000,6.8100000,43.0000000,26600.0000000,38.0000000,23291065.0000000
FUTSTKHINDUNILVR24-FEB-2022,2284.1500000,2310.1500000,2322.0000000,2284.0000000,2309.5500000,2309.5500000,1.1100000,30228.0000000,2015400.0000000,6718.0000000,4647228345.0000000
FUTSTKBAJAJFINSV24-FEB-2022,15742.5000000,15855.9000000,16045.0000000,15514.0500000,15929.2500000,15929.2500000,1.1800000,14456.0000000,435450.0000000,8709.0000000,6912302555.0000000
FUTSTKBERGEPAINT28-APR-2022,729.6500000,740.6500000,740.6500000,740.6500000,740.6500000,740.6500000,1.5000000,1.0000000,1100.0000000,1.0000000,814715.0000000
FUTSTKMRF24-FEB-2022,72467.5000000,72112.4500000,72875.7500000,71341.2000000,71830.8500000,71830.8500000,-0.8700000,5362.0000000,11270.0000000,1127.0000000,811615389.0000000
FUTSTKNAM-INDIA31-MAR-2022,343.0000000,347.0000000,347.5000000,340.0000000,345.0000000,345.0000000,0.5800000,65.0000000,46400.0000000,29.0000000,15970960.0000000
FUTSTKMRF28-APR-2022,72932.7500000,72903.5500000,72903.5500000,72400.0000000,72405.2000000,72405.2000000,-0.7200000,7.0000000,30.0000000,3.0000000,2177139.5000000
FUTSTKMRF31-MAR-2022,72611.5500000,72802.9000000,72802.9000000,72001.0000000,72134.0000000,72134.0000000,-0.6500000,168.0000000,250.0000000,25.0000000,18075437.5000000
